"ITTER107","Territorio","TIPO_DATO35","Tipo dato","REATI_PS","Tipo di delitto","SEXISTAT1","Sesso","ETA1","Classe di età","CITTADINANZA","Cittadinanza","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","BAGTHEF","furti con strappo","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",20,,
"IT","Italia","VICTIM","numero di vittime di delitto","BAGTHEF","furti con strappo","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",624,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","PICKTHEF","furti con destrezza","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",276,,
"IT","Italia","VICTIM","numero di vittime di delitto","PICKTHEF","furti con destrezza","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",4019,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","PICKTHEF","furti con destrezza","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",165,,
"IT","Italia","VICTIM","numero di vittime di delitto","PICKTHEF","furti con destrezza","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",8242,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","BURGTHEF","furti in abitazioni","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",922,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","BURGTHEF","furti in abitazioni","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",224,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","SHOPTHEF","furti in esercizi commerciali","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",1571,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","SHOPTHEF","furti in esercizi commerciali","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",813,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","VEHITHEF","furti in auto in sosta","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",435,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","VEHITHEF","furti in auto in sosta","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",47,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","ARTTHEF","furti di opere d'arte e materiale archeologico","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",0,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","ARTTHEF","furti di opere d'arte e materiale archeologico","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",0,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","TRUCKTHEF","furti di automezzi pesanti trasportanti merci","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",3,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","TRUCKTHEF","furti di automezzi pesanti trasportanti merci","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",0,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","MOPETHEF","furti di ciclomotori","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",88,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","MOPETHEF","furti di ciclomotori","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",4,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","MOTORTHEF","furti di motocicli","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",132,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","MOTORTHEF","furti di motocicli","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",2,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","CARTHEF","furti di autovetture","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",335,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","CARTHEF","furti di autovetture","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",11,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","ROBBER","rapine","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",2416,,
"IT","Italia","VICTIM","numero di vittime di delitto","ROBBER","rapine","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",1965,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","ROBBER","rapine","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",184,,
"IT","Italia","VICTIM","numero di vittime di delitto","ROBBER","rapine","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",653,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","HOUSEROB","rapine in abitazione","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",187,,
"IT","Italia","VICTIM","numero di vittime di delitto","HOUSEROB","rapine in abitazione","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",52,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","HOUSEROB","rapine in abitazione","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",19,,
"IT","Italia","VICTIM","numero di vittime di delitto","HOUSEROB","rapine in abitazione","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",38,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","BANKROB","rapine in banca","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",99,,
"IT","Italia","VICTIM","numero di vittime di delitto","BANKROB","rapine in banca","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",0,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","BANKROB","rapine in banca","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",4,,
"IT","Italia","VICTIM","numero di vittime di delitto","BANKROB","rapine in banca","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",0,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","POSTROB","rapine in uffici postali","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",47,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","POSTROB","rapine in uffici postali","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",2,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","SHOPROB","rapine in esercizi commerciali","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",466,,
"IT","Italia","VICTIM","numero di vittime di delitto","SHOPROB","rapine in esercizi commerciali","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",66,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","SHOPROB","rapine in esercizi commerciali","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",61,,
"IT","Italia","VICTIM","numero di vittime di delitto","SHOPROB","rapine in esercizi commerciali","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",47,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","STREETROB","rapine in pubblica via","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",1014,,
"IT","Italia","VICTIM","numero di vittime di delitto","STREETROB","rapine in pubblica via","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",1499,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","STREETROB","rapine in pubblica via","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",68,,
"IT","Italia","VICTIM","numero di vittime di delitto","STREETROB","rapine in pubblica via","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",431,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","EXTORT","estorsioni","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",1032,,
"IT","Italia","VICTIM","numero di vittime di delitto","EXTORT","estorsioni","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",537,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","EXTORT","estorsioni","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",85,,
"IT","Italia","VICTIM","numero di vittime di delitto","EXTORT","estorsioni","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",167,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","SWINCYB","truffe e frodi informatiche","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",4738,,
"IT","Italia","VICTIM","numero di vittime di delitto","SWINCYB","truffe e frodi informatiche","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",9030,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","SWINCYB","truffe e frodi informatiche","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",1523,,
"IT","Italia","VICTIM","numero di vittime di delitto","SWINCYB","truffe e frodi informatiche","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",6941,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","CYBERCRIM","delitti informatici","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",66,,
"IT","Italia","VICTIM","numero di vittime di delitto","CYBERCRIM","delitti informatici","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",441,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","CYBERCRIM","delitti informatici","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",12,,
"IT","Italia","VICTIM","numero di vittime di delitto","CYBERCRIM","delitti informatici","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",587,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","COUNTER","contraffazione di marchi e prodotti industriali","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",120,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","COUNTER","contraffazione di marchi e prodotti industriali","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",41,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","INTPROP","violazione della proprietà intellettuale","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",23,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","INTPROP","violazione della proprietà intellettuale","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",4,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","RECEIV","ricettazione","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",1693,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","RECEIV","ricettazione","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",219,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","MONEYLAU","riciclaggio e impiego di denaro, beni o utilità di provenienza illecita","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",200,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","MONEYLAU","riciclaggio e impiego di denaro, beni o utilità di provenienza illecita","2","femmine","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",46,,
"IT","Italia","OFFEND","numero di autori di delitto denunciati/arrestati dalle Forze di polizia","USURY","usura","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",12,,
"IT","Italia","VICTIM","numero di vittime di delitto","USURY","usura","1","maschi","Y18-24","18-24 anni","ITL","italiano-a","2019","2019",0,,
